Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
BD Service Years,BD_Service_Years__c,Text (255),—,BD_Service_Years__c,—,
BD Show Room,BD_Show_Romm__c,Text (255),—,BD_Show_Romm__c,—,
BD Willing Service,BD_Willing_Service__c,Text (255),—,BD_Willing_Service__c,—,
BD Brand,BD_Brand__c,Picklist (255),—,BD_Brand__c,—,
Describes Profession,Describes_Profession__c,Text (200),—,Describes_Profession__c,—,
Estimate Window Value,Estimate_Window_Value__c,Text (200),—,Estimate_Window_Value__c,—,
Estimated Door Amount,Estimated_Door_Amount__c,Text (200),—,Estimated_Door_Amount__c,—,
Estimated Door Value,Estimated_Door_Value__c,Text (200),—,Estimated_Door_Value__c,—,
Estimated Home Value,Estimated_Home_Value__c,Text (200),—,Estimated_Home_Value__c,—,
Estimated Windows,Estimated_Windows__c,Text (100),—,Estimated_Windows__c,—,
Financing,Financing__c,Text (100),—,Financing__c,—,
Installer,Installer__c,Text (200),—,Installer__c,—,
Latitude (Custom),Latitude__c,Text (200),—,Latitude__c,—,
Lead Estimated Value,Lead_Estimated_Value__c,Text (200),—,Lead_Estimated_Value__c,—,
Lead Reach,Lead_Reach__c,Text (200),—,Lead_Reach__c,—,
Longitude (Custom),Longitude__c,Text (200),—,Longitude__c,—,
Newsletter,Newsletter__c,Text (200),—,Newsletter__c,—,
Onboarded,Onboarded__c,Text (100),—,Onboarded__c,—,
Project Country,Project_Country__c,Text (100),—,Project_Country__c,—,
Project Name,Project_Name__c,Text (200),—,Project_Name__c,—,
Project State,Project_State__c,Text (100),—,Project_State__c,—,
Project Zip,Project_Zip__c,Text (100),—,Project_Zip__c,—,
Referral,Referral__c,Text (100),—,Referral__c,—,
National Account,National_Account__c,Lookup ‚Üí Account,—,National_Account__c,—,
Residential Delivery Indicator,CloudingoAgent__ARDI__c,Text (12),—,CloudingoAgent__ARDI__c,—,
Project Type (Text),Project_Type_c__c,Text (100),—,Project_Type_c__c,—,
Lead ID (Custom),Lead_ID__c,Text (100),—,Lead_ID__c,—,
Lead Type (Text),Lead_Type_c__c,Text (100),—,Lead_Type_c__c,—,
Address Type (Cloudingo),CloudingoAgent__AR__c,Text (1),—,CloudingoAgent__AR__c,—,
Address Status (Cloudingo),CloudingoAgent__AS__c,Number (18/0),—,CloudingoAgent__AS__c,—,
Address Timezone,CloudingoAgent__ATZ__c,Text (48),—,CloudingoAgent__ATZ__c,—,
Address Vacancy,CloudingoAgent__AV__c,Text (1),—,CloudingoAgent__AV__c,—,
Lead Email Status,CloudingoAgent__LES__c,Number (18/0),—,CloudingoAgent__LES__c,—,
Created by Scan to Salesforce,sansancard__CreatedByScanToSalesforce__c,Checkbox,—,sansancard__CreatedByScanToSalesforce__c,—,
County,County__c,Text Area (255),—,County__c,—,
Material Type,Material_Type__c,Picklist (255),Material Type,Material_Type__c,Picklist(255),
