Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Commercial - Resort/Hotel,Commercial_Resort_Hotel__c,Checkbox,Commercial - Resort/Hotel,(Not found),—,
Commercial - Restaurant/Retail,Commercial_Restaurant_Retail__c,Checkbox,Commercial - Restaurant/Retail,(Not found),—,
Showroom,Showroom__c,Checkbox,Showroom,(Not found),—,
Single Family,Single_Family__c,Checkbox,Single Family,(Not found),—,
Multi-Family,Multi_Family__c,Checkbox,Multi-Family,(Not found),—,
CV Channel,CV_Channel__c,Text(50),CV Channel,(Not found),—,
Current Opportunity Status,Current_Opportunity_Status__c,Text(50),Current Opportunity Status,(Not found),—,
Competitor,Competitor__c,Text(30),Competitor,Competitors__c,Picklist (Multi-Select),
Custom Product,Custom_Product__c,Multi-Select Picklist,Custom Product,(Not found),—,
First Appointment Date,First_Appointment_Date__c,Date,First Appointment Date,(Not found),—,
Loss Reason Description,Loss_Reason_Description__c,Text Area(255),Loss Reason Description,(Not found),—,
Reason for No Sale,Reason_for_No_Sale__c,Picklist,Reason for No Sale,(Not found),—,
Price Quoted,Price_Quoted__c,Currency(12,0),Price Quoted,(Not found),—,
Products Quoted,Products_Quoted__c,Picklist,Products Quoted,(Not found),—,
Products Sold,Products_Sold__c,Picklist,Products Sold,(Not found),—,
Contract Price,Contract_Price__c,Currency(12,0),Contract Price,(Not found),—,
Financing Used,Financing_Used__c,Picklist,Financing Used,(Not found),—,
Reason for No Demo,Reason_for_No_Demo__c,Picklist,Reason for No Demo,(Not found),—,
Follow Up Date,Follow_Up_Date__c,Date,Follow Up Date,(Not found),—,
Commercial - Other,Commercial_Other__c,Checkbox,Commercial - Other,(Not found),—,
Brands,Brands__c,Multi-Select Picklist,Brands,(Not found),—,
Classification,Classification__c,Picklist,Classification,(Not found),—,
Co-Owner,Co_Owner__c,Lookup(User),Co-Owner,(Not found),—,
Confidence %,Confidence__c,Percent(3,0),Confidence %,(Not found),—,
Engineering Firm,Engineering_Firm__c,Text(120),Engineering Firm,(Not found),—,
Job Name,Job_Name__c,Text(255),Job Name,(Not found as "Job Name"),—,
Customer Sales Order Record Count,Customer_Sales_Order_Record_Count__c,Roll-Up Summary (COUNT),Customer Sales Order Record Count,(Not found),—,
Project Number,Project_Number__c,Text(25),Project Number,(Not found as "Project Number"),—,
Expected Close Period,Expected_Close_Period__c,Picklist,Expected Close Period,(Not found),—,
Opps Prediction,Opps_Prediction__c,Number(3,0),Opps Prediction,(Not found),—,
Amt/PV Conflict Flag,Amt_PV_Conflict_Flag__c,Formula (Checkbox),Amt/PV Conflict Flag,(Not found),—,
Job Site City,Job_Site_City__c,Picklist,Job Site City,Job_Site_City__c,Text(255),
Job Site State,Job_Site_State__c,Picklist,Job Site State,Job_Site_State_Province__c,Picklist,
Job Site Street,Job_Site_Street__c,Text(255),Job Site Street,Job_Site_Street__c,Text Area(255),
Job Site Zip/Postal Code,Job_Site_Zip_Postal_Code__c,Text(10),Job Site Zip/Postal Code,Job_Site_Zip_Postal_Code__c,Text(10),
Parent Opportunity,Parent_Opportunity__c,Lookup(Opportunity),Parent Opportunity,Plant_Approval_Opportunity_Id__c,Lookup(Opportunity),
Account Name (Simple),Account_Name_Simple__c,Formula (Text),Account Name (Simple),(Not found),—,
Construction Type,Construction_Type__c,Picklist,Construction Type,(Not found),—,
Dealer (External),Dealer_External__c,Text(255),Dealer (External),(Not found),—,
Job City,Job_City__c,Picklist,Job City,(Not found as "Job City"),—,
Job Location,Job_Location__c,Lookup(Location),Job Location,Location__c,Formula (Text),
Number of Floors,Number_of_Floors__c,Picklist,Number of Floors,Number_of_Floors__c,Number(3,0),
Project Type,Project_Type__c,Picklist,Project Type,Type,Picklist,
